date,id,name,odd,supername,hypername
2023-08-21 04:07:24.727566,1843311784,Krajčo Richard,3.5,,Vítěz
2023-08-21 04:07:24.727566,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-08-21 04:07:24.727566,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-08-21 04:07:24.727566,1843311785,Kubelková Iva,7.0,,Vítěz
2023-08-21 04:07:24.727566,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-08-21 04:07:24.727566,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-08-21 04:07:24.727566,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-08-21 04:07:24.727566,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-08-21 04:07:24.727566,1843311787,Maršálek Josef,20.0,,Vítěz
2023-08-21 04:07:24.727566,1843311789,Prachař David,20.0,,Vítěz
2023-08-22 12:08:11.243223,1843311784,Krajčo Richard,3.5,,Vítěz
2023-08-22 12:08:11.243223,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-08-22 12:08:11.243223,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-08-22 12:08:11.243223,1843311785,Kubelková Iva,7.0,,Vítěz
2023-08-22 12:08:11.243223,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-08-22 12:08:11.243223,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-08-22 12:08:11.243223,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-08-22 12:08:11.243223,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-08-22 12:08:11.243223,1843311787,Maršálek Josef,20.0,,Vítěz
2023-08-22 12:08:11.243223,1843311789,Prachař David,20.0,,Vítěz
2023-08-22 20:07:05.095787,1843311784,Krajčo Richard,3.5,,Vítěz
2023-08-22 20:07:05.095787,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-08-22 20:07:05.095787,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-08-22 20:07:05.095787,1843311785,Kubelková Iva,7.0,,Vítěz
2023-08-22 20:07:05.095787,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-08-22 20:07:05.095787,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-08-22 20:07:05.095787,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-08-22 20:07:05.095787,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-08-22 20:07:05.095787,1843311787,Maršálek Josef,20.0,,Vítěz
2023-08-22 20:07:05.095787,1843311789,Prachař David,20.0,,Vítěz
2023-08-23 04:07:17.508314,1843311784,Krajčo Richard,3.5,,Vítěz
2023-08-23 04:07:17.508314,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-08-23 04:07:17.508314,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-08-23 04:07:17.508314,1843311785,Kubelková Iva,7.0,,Vítěz
2023-08-23 04:07:17.508314,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-08-23 04:07:17.508314,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-08-23 04:07:17.508314,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-08-23 04:07:17.508314,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-08-23 04:07:17.508314,1843311787,Maršálek Josef,20.0,,Vítěz
2023-08-23 04:07:17.508314,1843311789,Prachař David,20.0,,Vítěz
2023-08-23 12:08:10.315974,1843311784,Krajčo Richard,3.5,,Vítěz
2023-08-23 12:08:10.315974,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-08-23 12:08:10.315974,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-08-23 12:08:10.315974,1843311785,Kubelková Iva,7.0,,Vítěz
2023-08-23 12:08:10.315974,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-08-23 12:08:10.315974,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-08-23 12:08:10.315974,1843311780,Hradilek Vavřinec,12.0,,Vítěz
