date,Ano,Ne
2022-03-29,1.3,3.15
2022-03-30,1.275,3.315
2022-03-31,1.25,3.48
2022-04-01,1.25,3.48
2022-04-02,1.25,3.48
2022-04-03,1.25,3.48
2022-04-04,1.25,3.48
2022-04-05,1.25,3.48
2022-04-06,1.25,3.48
2022-04-07,1.25,3.48
2022-04-08,1.25,3.48
2022-04-09,1.25,3.48
2022-04-10,1.25,3.48
2022-04-11,1.25,3.48
2022-04-12,1.25,3.48
2022-04-13,1.25,3.48
2022-04-14,1.25,3.48
2022-04-15,1.25,3.48
2022-04-16,1.25,3.48
2022-04-17,1.25,3.48
2022-04-18,1.21,3.8
2022-04-19,1.21,3.8
2022-04-20,1.21,3.8
2022-04-21,1.21,3.8
2022-04-22,1.21,3.8
2022-04-23,1.21,3.8
2022-04-24,1.21,3.8
2022-04-25,1.21,3.8
2022-04-26,1.21,3.8
2022-04-27,1.21,3.8
2022-04-28,1.205,3.87
2022-04-29,1.2,3.94
2022-04-30,1.2,3.94
2022-05-01,1.2,3.94
2022-05-02,1.19,4.0
2022-05-03,1.19,4.0
2022-05-04,1.19,4.0
2022-05-05,1.19,4.0
2022-05-06,1.19,4.0
2022-05-07,1.19,4.0
2022-05-08,1.19,4.0
2022-05-09,1.19,4.0
2022-05-10,1.19,4.0
2022-05-11,1.19,4.0
2022-05-12,1.19,4.0
2022-05-13,1.19,4.0
2022-05-14,1.19,4.0
2022-05-15,1.19,4.0
