date,1805.5 a více,Méně než 1805.5
2022-07-12,2.01,1.7
2022-07-13,2.21,1.5750000000000002
2022-07-14,2.3899999999999997,1.5
2022-07-15,2.52,1.45
2022-07-16,2.52,1.45
2022-07-17,2.52,1.45
2022-07-18,2.52,1.45
2022-07-19,2.52,1.45
2022-07-20,2.52,1.45
2022-07-21,2.6,1.4249999999999998
2022-07-22,2.68,1.4
2022-07-23,2.68,1.4
2022-07-24,2.68,1.4
2022-07-25,2.68,1.4
2022-07-26,2.68,1.4
2022-07-27,2.68,1.4
2022-07-28,2.6,1.4249999999999998
2022-07-29,2.21,1.5750000000000002
2022-07-30,2.16,1.6
2022-07-31,2.16,1.6
2022-08-01,2.16,1.6
2022-08-02,2.16,1.6
2022-08-03,2.16,1.6
2022-08-04,2.0,1.7200000000000002
2022-08-05,1.84,1.84
