date,50.01% a více,Méně než 50.01%
2022-11-05,8.5,1.03
2022-11-06,8.5,1.03
2022-11-07,8.5,1.03
2022-11-08,8.5,1.03
2022-11-09,8.5,1.03
2022-11-10,8.5,1.03
2022-11-11,8.5,1.03
2022-11-12,8.5,1.03
2022-11-13,8.5,1.03
2022-11-14,8.5,1.03
2022-11-15,8.5,1.03
2022-11-16,8.5,1.03
2022-11-17,8.5,1.03
2022-11-18,8.5,1.03
2022-11-19,8.5,1.03
2022-11-20,8.5,1.03
2022-11-21,9.25,1.025
2022-11-22,10.0,1.02
2022-11-23,10.0,1.02
2022-11-24,10.0,1.02
2022-11-25,10.5,1.02
2022-11-26,10.5,1.02
2022-11-27,10.5,1.02
2022-11-28,10.5,1.02
2022-11-29,10.5,1.02
2022-11-30,10.5,1.02
2022-12-01,10.5,1.02
2022-12-02,10.5,1.02
2022-12-05,10.5,1.02
