date,Babiš Andrej,Blaško Hynek,Boštík Vladimír,Březina Tomáš,Diviš Karel,Dlouhý Vladimír,Drahoš Jiří,Fischer Pavel,Havlíček Karel,Hašek Dominik,Hilšer Marek,Horáček Michal,Janeček Karel,Klaus Václav (1941),Knor Miloš,Kocáb Michael,Kotáb Jiří,Long Slámová Klára,Mareš Ivo,Nerudová Danuše,Němcová Miroslava,Paroubek Jiří,Pavel Petr,Rakušan Vít,Rohanová Denisa,Schillerová Alena,Skála Josef,Smetana Ivan,Stropnický Martin,Středula Josef,Topolánek Mirek,Vitásková Alena,Vystrčil Miloš,Zima Tomáš
2022-03-29,3.2,,200.0,,100.0,110.0,55.0,10.5,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,11.5,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-03-30,3.2,,200.0,,100.0,110.0,55.0,10.5,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,11.5,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-03-31,3.2,,200.0,,100.0,110.0,55.0,10.5,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,11.5,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-01,3.2,,200.0,,100.0,110.0,55.0,10.5,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,11.5,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-02,3.2,,200.0,,100.0,110.0,55.0,10.5,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,11.5,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-03,3.2,,200.0,,100.0,110.0,55.0,10.5,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,11.5,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-04,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-05,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-06,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-07,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-08,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-09,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-10,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-11,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-12,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-13,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-14,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-15,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-16,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-17,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-18,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-19,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-20,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-21,3.2,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.05,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-22,3.175,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.075,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-23,3.15,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.1,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-24,3.15,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.1,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-25,3.15,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.1,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-26,3.15,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.1,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-27,3.15,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.1,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-28,3.15,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.1,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-29,3.15,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.1,28.0,180.0,95.0,,,90.0,22.0,140.0,,22.0,
2022-04-30,3.15,,200.0,,100.0,110.0,55.0,10.0,,160.0,36.0,130.0,22.0,44.0,85.0,100.0,,75.0,,12.0,20.0,120.0,2.15,28.0,180.0,95.0,,,90.0,16.0,140.0,,22.0,
2022-05-01,3.15,,200.0,50.0,110.0,100.0,55.0,10.0,,160.0,38.0,130.0,23.5,44.0,92.5,100.0,,80.0,,13.5,21.0,130.0,2.275,31.5,180.0,95.0,100.0,,120.0,14.0,140.0,25.0,22.0,
