id,name,odd,date
1577859273,Fischer Pavel,1.0,2023-01-10T22:07:54.129554
1577859274,Zima Tomáš,20.0,2023-01-10T22:07:54.129554
1577859273,Fischer Pavel,1.0,2023-01-11T01:37:13.274990
1577859274,Zima Tomáš,20.0,2023-01-11T01:37:13.274990
1577859273,Fischer Pavel,1.0,2023-01-11T09:08:06.034053
1577859274,Zima Tomáš,20.0,2023-01-11T09:08:06.034053
1577859273,Fischer Pavel,1.0,2023-01-11T12:08:59.596378
1577859274,Zima Tomáš,20.0,2023-01-11T12:08:59.596378
1577859273,Fischer Pavel,1.0,2023-01-11T19:07:39.154045
1577859274,Zima Tomáš,25.0,2023-01-11T19:07:39.154045
