id,name,odd,date
1448483296,Benzema Karim,1.05,2022-06-07T16:20:35.924325
1448483295,Mane Sadio,12.0,2022-06-07T16:20:35.924325
1448483300,Salah Mohamed,15.0,2022-06-07T16:20:35.924325
1448483293,Mbappé Kylian,17.0,2022-06-07T16:20:35.924325
1448483292,De Bruyne Kevin,20.0,2022-06-07T16:20:35.924325
1448483294,Lewandowski Robert,25.0,2022-06-07T16:20:35.924325
1448483301,Messi Lionel,30.0,2022-06-07T16:20:35.924325
1448483297,Ronaldo Cristiano,40.0,2022-06-07T16:20:35.924325
1448483299,Neymar,50.0,2022-06-07T16:20:35.924325
1448483298,Schick Patrik,500.0,2022-06-07T16:20:35.924325
1448483296,Benzema Karim,1.05,2022-06-08T04:27:59.876633
1448483295,Mane Sadio,12.0,2022-06-08T04:27:59.876633
1448483300,Salah Mohamed,15.0,2022-06-08T04:27:59.876633
1448483293,Mbappé Kylian,17.0,2022-06-08T04:27:59.876633
1448483292,De Bruyne Kevin,20.0,2022-06-08T04:27:59.876633
1448483294,Lewandowski Robert,25.0,2022-06-08T04:27:59.876633
1448483301,Messi Lionel,30.0,2022-06-08T04:27:59.876633
1448483297,Ronaldo Cristiano,40.0,2022-06-08T04:27:59.876633
1448483299,Neymar,50.0,2022-06-08T04:27:59.876633
1448483298,Schick Patrik,500.0,2022-06-08T04:27:59.876633
1448483296,Benzema Karim,1.05,2022-06-08T16:19:39.079487
1448483295,Mane Sadio,12.0,2022-06-08T16:19:39.079487
1448483300,Salah Mohamed,15.0,2022-06-08T16:19:39.079487
1448483293,Mbappé Kylian,17.0,2022-06-08T16:19:39.079487
1448483292,De Bruyne Kevin,20.0,2022-06-08T16:19:39.079487
1448483294,Lewandowski Robert,25.0,2022-06-08T16:19:39.079487
1448483301,Messi Lionel,30.0,2022-06-08T16:19:39.079487
1448483297,Ronaldo Cristiano,40.0,2022-06-08T16:19:39.079487
1448483299,Neymar,50.0,2022-06-08T16:19:39.079487
1448483298,Schick Patrik,500.0,2022-06-08T16:19:39.079487
1448483296,Benzema Karim,1.05,2022-06-09T04:26:35.605900
1448483295,Mane Sadio,12.0,2022-06-09T04:26:35.605900
1448483300,Salah Mohamed,15.0,2022-06-09T04:26:35.605900
1448483293,Mbappé Kylian,17.0,2022-06-09T04:26:35.605900
1448483292,De Bruyne Kevin,20.0,2022-06-09T04:26:35.605900
1448483294,Lewandowski Robert,25.0,2022-06-09T04:26:35.605900
1448483301,Messi Lionel,30.0,2022-06-09T04:26:35.605900
