date,Danko Andrej,Fico Robert,Forró Krisztián,Heger Eduard,Kollár Boris,Kotleba Marian,Majerský Milan,Matovič Igor,Pellegrini Peter,Remišová Veronika,Sulík Richard,Uhrík Milan,Šimečka Michal
2023-05-24,200.0,2.2,250.0,70.0,10.0,250.0,130.0,60.0,2.3,250.0,35.0,90.0,3.5
2023-05-25,200.0,2.2,250.0,70.0,10.0,250.0,130.0,60.0,2.3,250.0,35.0,90.0,3.5
2023-05-26,200.0,2.3,250.0,75.0,11.0,250.0,140.0,60.0,2.7,250.0,40.0,100.0,2.95
2023-05-27,200.0,2.3,250.0,75.0,12.0,250.0,140.0,60.0,2.7,250.0,45.0,100.0,2.95
2023-05-29,200.0,2.3,250.0,75.0,12.0,250.0,140.0,60.0,2.7,250.0,45.0,100.0,2.95
2023-05-30,200.0,2.3,250.0,75.0,12.0,250.0,140.0,60.0,2.7,250.0,45.0,100.0,2.95
2023-05-31,200.0,2.3,250.0,75.0,12.0,250.0,140.0,60.0,2.7,250.0,45.0,100.0,2.95
2023-06-01,200.0,2.3,250.0,75.0,12.0,250.0,140.0,60.0,2.7,250.0,45.0,100.0,2.95
2023-06-02,200.0,2.3,250.0,75.0,12.0,250.0,140.0,60.0,2.7,250.0,45.0,100.0,2.95
2023-06-03,200.0,2.35,300.0,80.0,13.0,300.0,150.0,60.0,2.8,300.0,45.0,120.0,2.5
2023-06-04,200.0,2.45,300.0,80.0,14.0,300.0,150.0,67.0,3.0,300.0,45.0,120.0,2.55
2023-06-06,220.0,2.55,350.0,85.0,15.0,350.0,170.0,67.0,2.9,350.0,45.0,130.0,2.55
2023-06-07,220.0,2.55,350.0,85.0,15.0,350.0,170.0,67.0,2.9,350.0,45.0,130.0,2.55
2023-06-08,220.0,2.55,350.0,85.0,15.0,350.0,170.0,67.0,2.9,350.0,45.0,130.0,2.55
2023-06-10,220.0,2.55,350.0,85.0,15.0,350.0,170.0,60.0,2.9,350.0,45.0,130.0,2.55
2023-06-11,220.0,2.55,350.0,85.0,15.0,350.0,170.0,60.0,2.9,350.0,45.0,130.0,2.55
2023-06-12,220.0,2.55,350.0,85.0,15.0,350.0,170.0,60.0,2.9,350.0,45.0,130.0,2.55
2023-06-13,220.0,2.55,350.0,85.0,15.0,350.0,170.0,60.0,2.9,350.0,45.0,130.0,2.55
2023-06-14,220.0,2.55,350.0,75.0,15.0,350.0,170.0,60.0,2.9,350.0,45.0,130.0,2.55
2023-06-15,220.0,2.55,350.0,75.0,15.0,350.0,170.0,60.0,2.9,350.0,45.0,130.0,2.55
2023-06-16,250.0,2.55,400.0,85.0,17.0,400.0,180.0,60.0,3.0,400.0,50.0,150.0,2.55
2023-06-17,250.0,2.55,400.0,85.0,17.0,400.0,180.0,60.0,3.0,400.0,50.0,150.0,2.55
2023-06-18,250.0,2.5,400.0,85.0,17.0,400.0,180.0,60.0,3.0,400.0,50.0,150.0,2.6
2023-06-19,350.0,2.8,500.0,95.0,18.0,500.0,200.0,60.0,2.9,500.0,60.0,180.0,2.5
2023-06-21,400.0,2.8,600.0,150.0,20.0,600.0,250.0,60.0,2.9,500.0,60.0,200.0,2.5
2023-06-22,400.0,2.8,600.0,150.0,20.0,600.0,250.0,60.0,2.9,500.0,60.0,200.0,2.5
2023-06-23,400.0,2.8,600.0,150.0,25.0,600.0,250.0,60.0,2.9,500.0,60.0,200.0,2.5
2023-06-24,400.0,2.7999999999999994,600.0,150.0,25.0,600.0,250.0,60.0,2.9,500.0,60.0,200.0,2.5
2023-06-25,400.0,2.8,600.0,150.0,25.0,600.0,250.0,60.0,2.9,500.0,60.0,200.0,2.5
2023-06-26,400.0,2.7999999999999994,600.0,150.0,25.0,600.0,250.0,60.0,2.9,500.0,60.0,200.0,2.5
