date,Bening Annette,Gladstone Lily,Hüller Sandra,Mulligan Carey,Stone Emma
2024-01-28,35.0,2.2,13.0,20.0,1.6
2024-01-29,35.0,2.4,14.333333333333334,20.0,1.5
2024-01-30,40.0,2.5,15.0,21.666666666666668,1.45
2024-01-31,50.0,2.5,15.0,25.0,1.45
2024-02-01,50.0,2.5,15.0,25.0,1.45
2024-02-02,50.0,2.5,15.0,25.0,1.45
2024-02-03,50.0,2.5,15.0,25.0,1.45
2024-02-04,50.0,2.5,15.0,25.0,1.45
2024-02-05,50.0,2.5,15.0,25.0,1.45
2024-02-06,50.0,2.5,15.0,25.0,1.45
2024-02-07,50.0,2.5,15.0,25.0,1.45
2024-02-08,50.0,2.5,15.0,25.0,1.45
2024-02-09,50.0,2.5,15.0,25.0,1.45
2024-02-10,50.0,2.5,15.0,25.0,1.45
2024-02-12,50.0,2.5,15.0,25.0,1.47
2024-02-13,50.0,2.5,15.0,25.0,1.47
2024-02-14,50.0,2.5,15.0,25.0,1.47
2024-02-15,50.0,2.5,15.0,25.0,1.47
2024-02-16,50.0,2.5,15.0,25.0,1.47
2024-02-17,50.0,2.5,15.0,25.0,1.47
2024-02-18,50.0,2.5,15.0,25.0,1.47
2024-02-19,50.0,2.8,15.0,25.0,1.4
2024-02-20,50.0,2.8333333333333335,15.666666666666666,25.0,1.39
2024-02-21,50.0,2.9,17.0,25.0,1.37
