date,Chlapec a volavka,Mezi živly,Nimona,Robot Dreams,Spider-Man: Napříč paralel.světy
2024-01-28,2.3,25.0,15.0,30.0,1.5
2024-01-29,2.2666666666666666,25.0,15.0,30.0,1.5
2024-01-30,2.3333333333333335,26.666666666666668,16.666666666666668,33.333333333333336,1.4733333333333334
2024-01-31,2.5,30.0,20.0,40.0,1.42
2024-02-01,2.5,30.0,20.0,40.0,1.42
2024-02-02,2.6,30.0,20.0,40.0,1.38
2024-02-03,2.6,30.0,20.0,40.0,1.38
2024-02-04,2.6,30.0,20.0,40.0,1.38
2024-02-05,2.6,30.0,20.0,40.0,1.38
2024-02-06,2.6,30.0,20.0,40.0,1.38
2024-02-07,2.6,30.0,20.0,40.0,1.38
2024-02-08,2.6,30.0,20.0,40.0,1.38
2024-02-09,2.6,30.0,20.0,40.0,1.38
2024-02-10,2.6,30.0,20.0,40.0,1.38
2024-02-12,2.5,35.0,20.0,40.0,1.45
2024-02-13,2.5,35.0,20.0,40.0,1.45
2024-02-14,2.5,35.0,20.0,40.0,1.45
2024-02-15,2.5,35.0,20.0,40.0,1.45
2024-02-16,2.5,35.0,20.0,40.0,1.45
2024-02-17,2.35,35.0,20.0,40.0,1.5
2024-02-18,2.35,35.0,20.0,40.0,1.5
2024-02-19,2.45,30.0,20.0,35.0,1.475
2024-02-20,2.2,30.0,20.0,35.0,1.55
